Your age:,Your gender:,"Are you currently enrolled in any educational institution, such as a school, college, or university? ",What is the highest level of education you have completed? ,Have you ever considered studying abroad? ,"  If yes, what level of education are you considering studying abroad?  ",What has motivated you to consider studying abroad? (Select all that apply)  ,Which of the following best describes how educational opportunities in Pakistan have impacted your career goals? ,"If given the chance, would you choose to study at a university in Pakistan or abroad, assuming both offer equal value in terms of education, opportunities, and scholarships?  ",Which aspects of life in Pakistan do you find most challenging? (Select all that apply)  ,What do you find most appealing about living abroad? (Select all that apply)  ,Do you think there are enough opportunities for personal and professional growth in Pakistan? ,Do you plan to seek employment opportunities abroad? ,"If you moved abroad, would you want to come back to Pakistan in future? ","If you were offered a competitive salary in Pakistan, would you consider migrating abroad for work?  ",How does the political and economic situation in Pakistan affect your thoughts on leaving the country? ,Do you know anyone abroad whose achievements or lifestyle has inspired you to move to another country?  ,Which countries have you thought about moving to? (Select all that apply)  ,What do you think is the biggest challenge of moving abroad?  (Select all that apply)     ,"If you were to move abroad, how would it affect your decision on where to marry?  "
20,Male,Yes,A levels / Intermediate,Yes,Master's,"More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Abroad,"Social life and culture, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Undecided,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Australia, United Kingdom, United Arab Emirates, Singapore",Leaving family and friends behind,It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Do not align, considering alternatives",Abroad,Economic opportunities,Better job options,"Some, but not enough",No,No,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada",Leaving family and friends behind,I’m unsure.
20,Male,Yes,A levels / Intermediate,Undecided,Bachelor's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.","Do not align, considering alternatives",Pakistan,"Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany, United Arab Emirates","Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
21,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Abroad,Economic opportunities,"Better job options, Higher quality of life","Some, but not enough",Undecided,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","No, not really","United States, Canada, United Kingdom, Germany, Singapore","Finding a job, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
19,Male,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Influence from family or friends.","Somewhat align, but lacking",Pakistan,Economic opportunities,Better job options,"Some, but not enough",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, United Kingdom, Germany, Singapore","Finding a job, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Influence from family or friends.","Somewhat align, but lacking",Pakistan,"Cost of living, Economic opportunities",Better job options,"Some, but not enough",Yes,Yes,Unsure,"Somewhat, it’s a factor","Yes, somewhat","United States, Canada, Australia, United Kingdom, Germany, New Zealand",Adjusting to a new culture,I’m unsure.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"More career opportunities after graduation., Desire for international exposure",No relevant opportunities found,Abroad,"Safety and security, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Germany",Leaving family and friends behind,I would prefer to return to Pakistan to marry.
24,Male,Yes,A levels / Intermediate,Undecided,Bachelor's,Better quality of education.,Unsure of the impact,Abroad,Cost of living,Higher quality of life,"No, very few opportunities",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada",Leaving family and friends behind,It depends on the circumstances.
18,Male,Yes,A levels / Intermediate,Undecided,Master's,Better quality of education.,"Somewhat align, but lacking",Pakistan,"Safety and security, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, somewhat","United Kingdom, Germany, United Arab Emirates","Adjusting to a new culture, Leaving family and friends behind",It depends on the circumstances.
22,Male,Yes,A levels / Intermediate,Yes,Master's,Desire for international exposure,"Do not align, considering alternatives",Abroad,Social life and culture,"Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Undecided,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","Yes, somewhat",Germany,"Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
18,Male,Yes,A levels / Intermediate,Yes,Master's,Desire for international exposure,"Do not align, considering alternatives",Abroad,Social life and culture,Higher quality of life,"No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"Somewhat, it’s a factor","Yes, somewhat","United States, Canada",Finding a job,I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Pakistan,Cost of living,"Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany, United Arab Emirates","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Pakistan,Cost of living,"Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany, United Arab Emirates","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Undecided,Master's,Better quality of education.,No relevant opportunities found,Pakistan,"Social life and culture, Safety and security, Cost of living, Economic opportunities",None of above,"Yes, there are plenty",No,Yes,No,"Not much, it doesn’t influence me","No, not really",Turkey,"Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
21,Male,Yes,A levels / Intermediate,Yes,Master's,"More career opportunities after graduation., Lack of suitable programs in Pakistan.","Do not align, considering alternatives",Abroad,None of the above,"Better job options, New cultural experiences, Appreciation of skills. Work ethics. Availability of International platforms (e.g paypal and stuff)","No, very few opportunities",Undecided,Yes,Yes,"Somewhat, it’s a factor","Yes, definitely",Germany,Legal and immigration issues,I would prefer to return to Pakistan to marry.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure",No relevant opportunities found,Abroad,Economic opportunities,"Higher quality of life, New cultural experiences","No, very few opportunities",Undecided,Yes,No,"A lot, it encourages me to look abroad","Yes, somewhat","New Zealand, Singapore","Finding a job, Adjusting to a new culture, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Male,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Abroad,"Safety and security, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Australia, United Kingdom, Germany, Japan","Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends.","Somewhat align, but lacking",Pakistan,Economic opportunities,Better job options,"Some, but not enough",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Female,Yes,A levels / Intermediate,No,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Abroad,Economic opportunities,Higher quality of life,"No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"Somewhat, it’s a factor","Yes, definitely","United States, Canada","Adjusting to a new culture, Legal and immigration issues",It depends on the circumstances.
20,Female,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.","Do not align, considering alternatives",Abroad,"Social life and culture, Safety and security, Economic opportunities","Better job options, Higher quality of life, New cultural experiences, It's easier to procure funding and capital for oppurtunities abroad, even if it's competitive at least there is an economy. In Pakistan getting grants and investments is a challenge.  Also the chance to live independently, in Pakistan the culture and society doesn't  let you grow up much. And as a woman it's very unsafe. (Although women's safety is debatable all over the world, some places like Singapore are generally safe)","Some, but not enough",Yes,No,Yes,"Not much, it doesn’t influence me","Yes, somewhat","United States, Canada, United Arab Emirates, Singapore","Finding a job, Legal and immigration issues",It depends on the circumstances.
20,Female,Yes,Master's,Undecided,Master's,Lack of suitable programs in Pakistan.,Fully support my goals,Abroad,Economic opportunities,None of above,Unsure,Undecided,"Maybe, depends on circumstances",Yes,"Somewhat, it’s a factor","No, not really","United Arab Emirates, Bahrain",Adjusting to a new culture,I would prefer to marry abroad.
16,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Abroad,Safety and security,Better job options,"Yes, there are plenty",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada",Leaving family and friends behind,I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,Better quality of education.,Fully support my goals,Pakistan,Social life and culture,Higher quality of life,"Yes, there are plenty",Undecided,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Germany",Finding a job,I would prefer to return to Pakistan to marry.
16,Female,No,A levels / Intermediate,Undecided,Bachelor's,"More career opportunities after graduation., Desire for international exposure",Fully support my goals,Pakistan,"Safety and security, Economic opportunities",Higher quality of life,"Some, but not enough",No,Yes,Yes,"Somewhat, it’s a factor","No, not really","United States, Canada, United Kingdom, United Arab Emirates, Turkey,saudia arabia",Leaving family and friends behind,It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Undecided,Bachelor's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.",No relevant opportunities found,Unsure,"Safety and security, Economic opportunities",Higher quality of life,"No, very few opportunities",Undecided,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Australia, United Kingdom, Germany, Italy ","Adjusting to a new culture, Leaving family and friends behind",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"More career opportunities after graduation., Desire for international exposure",Fully support my goals,Abroad,Social life and culture,Better job options,"Yes, there are plenty",Yes,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, United Kingdom, Germany","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
19,Female,Yes,A levels / Intermediate,Yes,Master's,"Desire for international exposure, Influence from family or friends.","Somewhat align, but lacking",Pakistan,"Social life and culture, Safety and security, Cost of living",New cultural experiences,"Some, but not enough",Undecided,Yes,Unsure,"Somewhat, it’s a factor",,"United States, Canada, United Kingdom, Germany, Turkey ",Finding a job,
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities",Better job options,"Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"Somewhat, it’s a factor","No, not really","United States, Canada, Australia, United Kingdom, Germany, New Zealand","Finding a job, Adjusting to a new culture",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,No,Master's,More career opportunities after graduation.,No relevant opportunities found,Pakistan,Economic opportunities,Better job options,"No, very few opportunities",Yes,Yes,No,"Somewhat, it’s a factor","No, not really","United States, Canada, Australia",Leaving family and friends behind,I would prefer to return to Pakistan to marry.
23,Female,Yes,Bachelor's,Yes,Master's,More career opportunities after graduation.,Unsure of the impact,Abroad,Cost of living,Better job options,"No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany, New Zealand, Saudi Arabia ",Finding a job,I’m unsure.
21,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.",Unsure of the impact,Pakistan,"Social life and culture, Safety and security, Cost of living, Economic opportunities",Better job options,"No, very few opportunities",Yes,Yes,No,"A lot, it encourages me to look abroad","No, not really","Australia, United Kingdom, Germany","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Bachelor's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,Economic opportunities,New cultural experiences,Unsure,Undecided,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely",Australia,Adjusting to a new culture,It depends on the circumstances.
18,Male,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Desire for international exposure",No relevant opportunities found,Abroad,Safety and security,"Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany, New Zealand",Finding a job,It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Abroad,None of the above,"Better job options, Higher quality of life","Some, but not enough",Yes,Yes,No,"Somewhat, it’s a factor","Yes, somewhat","United States, Canada, Australia, Germany, Singapore","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
21,Male,Yes,Bachelor's,Undecided,Bachelor's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,Economic opportunities,New cultural experiences,"Some, but not enough",Undecided,Yes,Unsure,Not sure,Unsure,"Germany, Bu",Legal and immigration issues,I’m unsure.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Unsure,"Safety and security, Economic opportunities","Higher quality of life, New cultural experiences","Yes, there are plenty",Yes,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","No, not really",Netherlands ,"Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Yes,Master's,Desire for international exposure,"Somewhat align, but lacking",Pakistan,Safety and security,New cultural experiences,"No, very few opportunities",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, somewhat",Germany,Legal and immigration issues,I would prefer to return to Pakistan to marry.
18,Female,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Do not align, considering alternatives",Abroad,"Social life and culture, Safety and security","Better job options, Higher quality of life","No, very few opportunities",Yes,No,Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, United Kingdom","Finding a job, Legal and immigration issues",I would prefer to marry abroad.
20,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Abroad,"Safety and security, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom",Leaving family and friends behind,I would prefer to marry abroad.
21,Female,Yes,A levels / Intermediate,Yes,Bachelor's,"More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Pakistan,"Cost of living, Economic opportunities",Higher quality of life,"Some, but not enough",Yes,Yes,No,"Not much, it doesn’t influence me","No, not really","United States, Canada, Australia, Germany",Adjusting to a new culture,It depends on the circumstances.
18,Male,Yes,A levels / Intermediate,Yes,Bachelor's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,Cost of living,New cultural experiences,"Some, but not enough",No,No,No,"Somewhat, it’s a factor","Yes, somewhat","Germany, United Arab Emirates",Legal and immigration issues,I would prefer to return to Pakistan to marry.
16,Female,Yes,A levels / Intermediate,Undecided,Bachelor's,More career opportunities after graduation.,Unsure of the impact,Unsure,Safety and security,None of above,Unsure,No,Yes,No,"Not much, it doesn’t influence me","No, not really",Turkiye,Leaving family and friends behind,I would prefer to return to Pakistan to marry.
18,Male,Yes,Bachelor's,Yes,Bachelor's,Desire for international exposure,Fully support my goals,Abroad,Economic opportunities,New cultural experiences,"Some, but not enough",No,Yes,Yes,"Somewhat, it’s a factor","Yes, definitely",United Kingdom,Finding a job,I would prefer to marry abroad.
20,Female,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.",No relevant opportunities found,Pakistan,"Social life and culture, Safety and security, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, Germany","Finding a job, Adjusting to a new culture, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Male,Yes,Master's,Yes,Bachelor's,More career opportunities after graduation.,"Do not align, considering alternatives",Pakistan,Cost of living,New cultural experiences,"No, very few opportunities",No,Yes,Yes,"Somewhat, it’s a factor","No, not really",United Arab Emirates,Leaving family and friends behind,I would prefer to marry abroad.
20,Male,Yes,Bachelor's,Yes,Master's,Better quality of education.,"Do not align, considering alternatives",Abroad,Social life and culture,New cultural experiences,"Yes, there are plenty",Yes,"Maybe, depends on circumstances",Yes,"Somewhat, it’s a factor","No, not really",Germany,Finding a job,I’m unsure.
19,Male,Yes,A levels / Intermediate,Undecided,,,"Somewhat align, but lacking",Unsure,"Social life and culture, Cost of living, Economic opportunities",Better job options,"Some, but not enough",Undecided,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, somewhat",United Kingdom,Leaving family and friends behind,It depends on the circumstances.
